id,value
"Hill, Jordan",3.9
"Hill, Jordan",3.7
"Davis, Ed",2.6
"Hill, Jordan",0.3
"Hill, Jordan",2.2
"Hill, Jordan",0.8
"Harris, Tobias",3.8
"Oladipo, Victor",2.2
"Vucevic, Nikola",1.7
"Vucevic, Nikola",4.2
"Vucevic, Nikola",5.1
"Vucevic, Nikola",3.3
"Oladipo, Victor",1.9
"Vucevic, Nikola",4
"Dedmon, Dewayne",3
"Dedmon, Dewayne",5.7
"Vucevic, Nikola",3.1
"Vucevic, Nikola",6.8
"Harris, Tobias",1.7
"Vucevic, Nikola",4.3
"Vucevic, Nikola",2.9
"Vucevic, Nikola",5.3
"Zeller, Tyler",3.1
"Zeller, Tyler",3.4
"Turner, Evan",3.1
"Zeller, Tyler",1.7
"Jerebko, Jonas",1.5
"Bass, Brandon",2.5
"Bradley, Avery",6.6
"Zeller, Tyler",2.8
"Zeller, Tyler",2.9
"Zeller, Tyler",2.4
"Zeller, Tyler",4.7
"Crowder, Jae",2.8
"Crowder, Jae",0.7
"Gasol, Pau",3.4
"Gasol, Pau",0.7
"Noah, Joakim",2
"Snell, Tony",1.5
"Noah, Joakim",4.1
"Noah, Joakim",2.6
"Noah, Joakim",0
"Noah, Joakim",3.4
"Noah, Joakim",3.1
"Noah, Joakim",9.6
"Noah, Joakim",4.2
"Gasol, Pau",3.6
"Gasol, Pau",1.7
"Gasol, Pau",2.8
"Gasol, Pau",1.9
"Noah, Joakim",5.7
"Noah, Joakim",3.6
"Jefferson, Richard",2.1
"Chandler, Tyson",0.1
"Stoudemire, Amar'e",3.1
"Chandler, Tyson",1.4
"Chandler, Tyson",3.1
"Chandler, Tyson",2.2
"Chandler, Tyson",3.5
"Chandler, Tyson",2.2
"Chandler, Tyson",3.2
"Chandler, Tyson",0.1
"Chandler, Tyson",4.5
"Chandler, Tyson",2.4
"Aminu, Al-Farouq",2.7
"Nowitzki, Dirk",6.9
"Harris, Devin",2.9
"Aminu, Al-Farouq",2.5
"Kanter, Enes",2.2
"Kanter, Enes",2.8
"Kanter, Enes",0.8
"Collison, Nick",2.3
"Collison, Nick",4.2
"Kanter, Enes",1.8
"Ibaka, Serge",2.1
"Kanter, Enes",2.1
"Kanter, Enes",6.6
"Kanter, Enes",0.3
"Kanter, Enes",3.2
"Kanter, Enes",4.4
"Kanter, Enes",1.5
"Ibaka, Serge",2.3
"Kanter, Enes",1
"Ibaka, Serge",1
"Kanter, Enes",1.7
"McGary, Mitch",5.9
"Drummond, Andre",5.5
"Drummond, Andre",4
"Monroe, Greg",0.6
"Tolliver, Anthony",3.3
"Tolliver, Anthony",3.1
"Monroe, Greg",2.3
"Drummond, Andre",3.6
"Singler, Kyle",6.4
"Monroe, Greg",8.2
"Drummond, Andre",3.5
"Drummond, Andre",2.8
"Drummond, Andre",3.1
"Augustin, D.J.",2.5
"Monroe, Greg",5.1
"Hibbert, Roy",2.4
"Hibbert, Roy",2.2
"West, David",2.3
"Hibbert, Roy",5.7
"Stuckey, Rodney",6.3
"West, David",2.8
"Hibbert, Roy",3.3
"Hibbert, Roy",0.1
"Hill, George",2.5
"Hibbert, Roy",4.7
"Hibbert, Roy",3.4
"Scola, Luis",3.5
"West, David",1.7
"West, David",2.9
"Hill, Solomon",0.9
"Hibbert, Roy",1.4
"Hibbert, Roy",5.3
"West, David",2.4
"Hibbert, Roy",1.2
"Hibbert, Roy",3.8
"West, David",2.7
"Hibbert, Roy",2.7
"Covington, Robert",1.9
"Noel, Nerlens",1.8
"Mbah a Moute, Luc",5.8
"Noel, Nerlens",0
"Mbah a Moute, Luc",2.5
"Mbah a Moute, Luc",3.3
"Mbah a Moute, Luc",3.4
"Mbah a Moute, Luc",0.9
"Mbah a Moute, Luc",2.5
"Mbah a Moute, Luc",2.2
"Mbah a Moute, Luc",2.9
"Mbah a Moute, Luc",1.1
"Mbah a Moute, Luc",1.4
"Mbah a Moute, Luc",0.5
"Covington, Robert",0.5
"Noel, Nerlens",1.6
"Mbah a Moute, Luc",1.6
"Gortat, Marcin",3.1
"Gortat, Marcin",5.4
"Gortat, Marcin",4.1
Nene,2.2
Nene,2.1
"Gortat, Marcin",1.2
"Gortat, Marcin",6.6
"Blair, DeJuan",1.6
"Gortat, Marcin",1.2
"Gortat, Marcin",6.5
"Gortat, Marcin",2.8
"Gortat, Marcin",2.9
"Pierce, Paul",1.1
"Gortat, Marcin",6
"Gortat, Marcin",2.4
"Gortat, Marcin",2.1
Nene,4
"Gortat, Marcin",2.4
"Gortat, Marcin",2.3
"Gortat, Marcin",3.1
"Pierce, Paul",0.1
"Gortat, Marcin",0.4
"Gortat, Marcin",4.3
"Gortat, Marcin",1.8
Nene,0
"Gortat, Marcin",3.7
"Seraphin, Kevin",0
Nene,0.9
Nene,5.1
"Gortat, Marcin",1.6
"Beal, Bradley",3.7
"Nurkic, Jusuf",1.8
"Nurkic, Jusuf",1.5
"Gee, Alonzo",4.2
"Chandler, Wilson",4.8
"Hickson, JJ",3.9
"Hickson, JJ",4
"Gee, Alonzo",1.9
"Nurkic, Jusuf",0
"Nurkic, Jusuf",1.8
"Hickson, JJ",3.8
"McGee, JaVale",1.7
"McGee, JaVale",6.3
"Hickson, JJ",1.4
"Hickson, JJ",2.1
"Gallinari, Danilo",0.5
"Duncan, Tim",1.8
"Duncan, Tim",0.7
"Baynes, Aron",6.2
"Diaw, Boris",1.9
"Bonner, Matt",0.9
"Duncan, Tim",2.2
"Bonner, Matt",3.2
"Leonard, Kawhi",5.7
"Green, Danny",1.8
"Bonner, Matt",3.6
"Diaw, Boris",1.7
"Diaw, Boris",0.4
"Stoudemire, Amar'e",2.9
"Stoudemire, Amar'e",2.5
"Stoudemire, Amar'e",2.2
"Aldrich, Cole",3.8
"Aldrich, Cole",5.8
"Stoudemire, Amar'e",5.1
"Amundson, Lou",1.7
"Amundson, Lou",1.4
"Amundson, Lou",1.6
"Amundson, Lou",2.4
"Amundson, Lou",3.4
"Smith, Jason",2.6
"Amundson, Lou",2.3
"Aldrich, Cole",1.1
"Irving, Kyrie",2.2
"Mozgov, Timofey",4.3
"Mozgov, Timofey",1.9
"Mozgov, Timofey",0.9
"Mozgov, Timofey",5.5
"Love, Kevin",5.6
"Mozgov, Timofey",3.2
"Mozgov, Timofey",4.8
"Haywood, Brendan",3.3
"Marion, Shawn",3.4
"Haywood, Brendan",1.8
"Dellavedova, Matthew",3.6
"Haywood, Brendan",2.1
"Haywood, Brendan",2.7
"Haywood, Brendan",6.3
"Dellavedova, Matthew",7.8
"Napier, Shabazz",4.4
"Haslem, Udonis",2.8
"Bosh, Chris",1.4
"Bosh, Chris",2.1
"Bosh, Chris",1.9
"Haslem, Udonis",6.3
"Napier, Shabazz",3.9
"Bosh, Chris",4.4
"Bosh, Chris",1.8
"Bosh, Chris",3.8
"Williams, Shawne",1
"Young, Thaddeus",0.5
"Budinger, Chase",2.5
"LaVine, Zach",2.9
"Dieng, Gorgui",1.4
"Dieng, Gorgui",2.8
"Dieng, Gorgui",2.1
"Dieng, Gorgui",1.7
"Daniels, Troy",2.8
"Dieng, Gorgui",5.5
"Dieng, Gorgui",4.7
"Daniels, Troy",2.1
"Pachulia, Zaza",4.6
"Pachulia, Zaza",5.4
"Pachulia, Zaza",5.8
"Antetokounmpo, Giannis",3.3
"Pachulia, Zaza",10.1
"Pachulia, Zaza",3.3
"Pachulia, Zaza",2.2
"Pachulia, Zaza",6.3
"Pachulia, Zaza",1.9
"Pachulia, Zaza",4.4
"Henson, John",1.2
"Henson, John",0.1
"Vucevic, Nikola",4.7
"Vucevic, Nikola",2.3
"Vucevic, Nikola",4.2
"Vucevic, Nikola",2.5
"Vucevic, Nikola",3.2
"Vucevic, Nikola",4
"Vucevic, Nikola",2.6
"O'Quinn, Kyle",2.6
"Vucevic, Nikola",5.2
"Vucevic, Nikola",1.7
"Harris, Tobias",4.3
"Adams, Steven",4.8
"Ibaka, Serge",2
"Collison, Nick",2.3
"Perkins, Kendrick",0.9
"Westbrook, Russell",4.3
"Adams, Steven",4.3
"Adams, Steven",3.3
"Sanders, Larry",5.1
"Sanders, Larry",6
"Sanders, Larry",3.9
"Sanders, Larry",5.6
"Pachulia, Zaza",6.7
"Sanders, Larry",2.7
"Sanders, Larry",2.6
"Knight, Brandon",4.3
"Dudley, Jared",0.5
"Sanders, Larry",4
"Bayless, Jerryd",3.7
"Mozgov, Timofey",3.2
"Mozgov, Timofey",4.9
"Mozgov, Timofey",8.6
"Mozgov, Timofey",1.9
"Hickson, JJ",3.2
"Nurkic, Jusuf",2
